price;title
 de R$ 3.999,00   por R$ 3.014,10 Ã  vista (10% de desconto)      ou R$ 3.349,00 em 10x de R$ 334,90 sem juros ;iPhone 8 Apple 64GB Dourado 4G Tela 4,7â€ù - Retina CÃ¢m. 12MP + Selfie 7MP iOS 11 - iPhone - Magazine Luiza
 de R$ 3.999,00   por R$ 3.014,10 Ã  vista (10% de desconto)      ou R$ 3.349,00 em 10x de R$ 334,90 sem juros ;iPhone 8 Apple 64GB Prata 4G Tela 4,7â€ù - Retina CÃ¢m. 12MP + Selfie 7MP iOS 11 - iPhone - Magazine Luiza
 de R$ 1.199,00   por R$ 899,10 Ã  vista (10% de desconto)      ou R$ 999,00 em 10x de R$ 99,90 sem juros ;Smartphone Motorola Moto G6 Play 32GB Ouro - Dual Chip 4G CÃ¢m 13MP + Selfie 8MP Flash Tela 5.7â€ù - Moto G6 Play - Magazine Luiza
 de R$ 1.199,00   por R$ 899,10 Ã  vista (10% de desconto)      ou R$ 999,00 em 10x de R$ 99,90 sem juros ;Smartphone Motorola Moto G6 Play 32GB Indigo - 4G Octa Core 3GB RAM Tela 5,7â€ù CÃ¢m 13MP + Selfie 8 - Moto G6 Play - Magazine Luiza
 de R$ 1.199,00   por R$ 675,00      em 10x de R$ 67,50 sem juros ;Smartphone Samsung Galaxy J4+ 32GB Dual Chip Tela 6 CÃ¢mera 13MP 5MP Android 8.1 Preto - Galaxy J4 Plus - Magazine Luiza
 de R$ 899,00   por R$ 643,41 Ã  vista (10% de desconto)      ou R$ 714,90 em 10x de R$ 71,49 sem juros ;Smartphone Samsung Galaxy J4 Core 16GB Preto 4G - Quad Core 1GB RAM Tela 6â€ù CÃ¢m. 8MP + Selfie 5MP - Galaxy J4 Core - Magazine Luiza
 de R$ 780,89   por R$ 709,90      em 10x de R$ 70,99 sem juros ;Smartphone Samsung J4 Core, Cobre, J410M,  Tela de 6â€ù, 16GB, 8MP - Galaxy J4 Core - Magazine Luiza
 de R$ 780,89   por R$ 709,90      em 10x de R$ 70,99 sem juros ;Smartphone Samsung J4 Core, Preto, J410M,  Tela de 6â€ù, 16GB, 8MP - Galaxy J4 Core - Magazine Luiza
   por R$ 615,00      em 10x de R$ 61,50 sem juros ;Smartphone Samsung Galaxy J4 Core Tela infinita de 6 CÃ¢mera Frontal de 5MP Android Go 8.1- Preto - Galaxy J4 Core - Magazine Luiza
 de R$ 549,00   por R$ 519,00      em 6x de R$ 86,50 sem juros ;Smartphone Samsung Galaxy J2 Core 16GB Dual Chip Tela 5 CÃ¢mera 8MP 5MP Android Go 8.1 Prata - Smartphone - Magazine Luiza
 de R$ 599,00   por R$ 519,00      em 6x de R$ 86,50 sem juros ;Smartphone Desbloqueado Samsung J260 Galaxy J2 Core Dourado 16 GB - Claro - Smartphone - Magazine Luiza
