,price,price_parcela,title
17,"R$ 1.669,00Selo PrimeEsta é uma oferta prime10x de R$ 166,90 s/ juros","R$ 1.669,00 em até 12x de R$ 139,08 s/ juros com Ame e receba R$ 83,45 (5% de volta) R$ 1.669,00 no cartão Americanas.com em até 12x de R$ 139,08 s/ jurosformas de parcelamento","Smartphone Motorola Moto G7 Plus 64GB Dual Chip Android Pie - 9.0 Tela 6.3"" 1.8 GHz Octa-Core 4G Câmera 16MP F1.7 + 5MP F1.9 (Dual Cam) - Rubi nas Lojas Americanas.com"
18,"R$ 1.399,00 (10% de desconto)R$ 1.259,10Selo PrimeEsta é uma oferta primeem 1x no cartão","R$ 1.399,00 em até 12x de R$ 116,58 s/ juros com Ame e receba R$ 69,95 (5% de volta) R$ 1.399,00 no boleto bancárioR$ 1.399,00 no cartão de crédito em até 10x de R$ 139,90 s/ jurosR$ 1.259,10 no cartão Americanas.com em até 12x de R$ 104,92 s/ juros (10% de desconto)formas de parcelamento","Smartphone Motorola Moto G7 64GB Dual Chip Android Pie - 9.0 Tela 6.24"" 1.8 GHz Octa-Core 4G Câmera 12 + 5MP (Dual Traseira) - Ônix nas Lojas Americanas.com"
19,"R$ 1.399,00Selo PrimeEsta é uma oferta prime10x de R$ 139,90 s/ juros","R$ 1.399,00 em até 12x de R$ 116,58 s/ juros com Ame e receba R$ 69,95 (5% de volta) R$ 1.259,10 em 1x no cartão de crédito (10% de desconto)R$ 1.259,10 no cartão Americanas.com em até 12x de R$ 104,92 s/ juros (10% de desconto)formas de parcelamento","Smartphone Motorola Moto G7 64GB Dual Chip Android Pie - 9.0 Tela 6.24"" 1.8 GHz Octa-Core 4G Câmera 12 + 5MP (Dual Traseira)- Branco Polar nas Lojas Americanas.com"
20,"R$ 859,98Selo PrimeEsta é uma oferta prime8x de R$ 107,49 s/ juros","R$ 859,98 em até 12x de R$ 71,66 s/ juros com Ame e receba R$ 43,00 (5% de volta) R$ 859,98 no cartão Americanas.com em até 12x de R$ 71,66 s/ jurosformas de parcelamento","Smartphone Motorola Moto G6 32GB Dual Chip Android Oreo - 8.0 Tela 5.7"" Octa-Core 1.8 GHz 4G Câmera 12 + 5MP (Dual Traseira) - Índigo nas Lojas Americanas.com"
21,"R$ 1.146,00Selo PrimeEsta é uma oferta prime10x de R$ 114,60 s/ juros","R$ 1.146,00 em até 12x de R$ 95,50 s/ juros com Ame e receba R$ 57,30 (5% de volta) R$ 1.146,00 no cartão Americanas.com em até 12x de R$ 95,50 s/ jurosformas de parcelamento","Smartphone Motorola Moto G6 64GB Dual Chip Android Oreo - 8.0 Tela 5.7"" Octa-Core 1.8 GHz 4G Câmera 12 + 5MP (Dual Traseira) - Preto nas Lojas Americanas.com"
22,"R$ 1.199,00Selo PrimeEsta é uma oferta prime10x de R$ 119,90 s/ juros","R$ 1.199,00 em até 12x de R$ 99,91 s/ juros com Ame e receba R$ 59,95 (5% de volta) R$ 1.199,00 no cartão Americanas.com em até 12x de R$ 99,91 s/ jurosformas de parcelamento","Smartphone Motorola Moto G6 Dual Chip Android Oreo - 8.0 Tela 5.7"" Octa-Core 1.8 GHz 64GB 4G Câmera 12 + 5MP (Dual Traseira) - Ouro Rose nas Lojas Americanas.com"
23,"R$ 1.443,33Selo PrimeEsta é uma oferta prime10x de R$ 144,33 s/ juros","R$ 1.443,33 em até 12x de R$ 120,27 s/ juros com Ame e receba R$ 72,17 (5% de volta) R$ 1.298,99 em 1x no cartão de crédito (10% de desconto)R$ 1.298,99 no cartão Americanas.com em até 12x de R$ 108,24 s/ juros (10% de desconto)formas de parcelamento","Smartphone Motorola Moto G6 Plus Dual Chip Android Oreo - 8.0 Tela 5.9"" Octa-Core 2.2 GHz 64GB 4G Câmera 12 + 5MP (Dual Traseira) - Índigo nas Lojas Americanas.com"
24,"R$ 1.386,00Selo PrimeEsta é uma oferta prime10x de R$ 138,60 s/ juros","R$ 1.386,00 em até 12x de R$ 115,50 s/ juros com Ame e receba R$ 69,30 (5% de volta) R$ 1.386,00 no cartão Americanas.com em até 12x de R$ 115,50 s/ jurosformas de parcelamento","Smartphone Motorola Moto G6 Plus 64GB Dual Chip Android Oreo - 8.0 Tela 5.9"" Octa-Core 2.2 GHz 4G Câmera 12 + 5MP (Dual Traseira) - Azul Topázio nas Lojas Americanas.com"
25,"R$ 1.399,0010x de R$ 139,90 s/ juros","R$ 1.399,00 em até 12x de R$ 116,58 s/ juros com Ame e receba R$ 69,95 (5% de volta) R$ 1.399,00 no cartão Americanas.com em até 12x de R$ 116,58 s/ jurosformas de parcelamento","Smartphone Samsung Galaxy J8 64GB Dual Chip Android 8.0 Tela 6"" Octa-Core 1.8GHz  4G Câmera 16MP F1.7 + 5MP F1.9 (Dual Cam) - Preto nas Lojas Americanas.com"
26,"R$ 1.388,88Selo PrimeEsta é uma oferta prime10x de R$ 138,88 s/ juros","R$ 1.388,88 em até 12x de R$ 115,74 s/ juros com Ame e receba R$ 69,45 (5% de volta) R$ 1.388,88 no cartão Americanas.com em até 12x de R$ 115,74 s/ jurosformas de parcelamento","Smartphone Samsung Galaxy J8 64GB Dual Chip Android 8.0 Tela 6"" Octa-Core 1.8GHz 4G Câmera 16MP F1.7 + 5MP F1.9 (Dual Cam) - Prata nas Lojas Americanas.com"
27,"R$ 1.221,11Selo PrimeEsta é uma oferta prime10x de R$ 122,11 s/ juros","R$ 1.221,11 em até 12x de R$ 101,75 s/ juros com Ame e receba R$ 61,06 (5% de volta) R$ 1.098,99 em 1x no cartão de crédito (10% de desconto)R$ 1.098,99 no cartão Americanas.com em até 12x de R$ 91,58 s/ juros (10% de desconto)formas de parcelamento","Smartphone Samsung Galaxy J8 64GB Dual Chip Android 8.0 Tela 6"" Octa-Core 1.8GHz 4G Câmera 16MP F1.7 + 5MP F1.9 (Dual Cam) - Violeta nas Lojas Americanas.com"
28,"R$ 919,909x de R$ 102,21 s/ juros","R$ 919,90 em até 12x de R$ 76,65 s/ juros com Ame e receba R$ 46,00 (5% de volta) R$ 919,90 no cartão Americanas.com em até 12x de R$ 76,65 s/ jurosformas de parcelamento","Smartphone Samsung Galaxy J6 32GB Dual Chip Android 8.0 Tela 5.6"" Octa-Core 1.6GHz 4G Câmera 13MP com TV - Prata nas Lojas Americanas.com"
29,"R$ 799,00 (10% de desconto)R$ 719,10Selo PrimeEsta é uma oferta primeem 1x no cartão","R$ 799,00 em até 12x de R$ 66,58 s/ juros com Ame e receba R$ 39,95 (5% de volta) R$ 799,00 no boleto bancárioR$ 799,00 no cartão de crédito em até 8x de R$ 99,87 s/ jurosR$ 703,12 no cartão Americanas.com em até 12x de R$ 58,59 s/ juros (12% de desconto)formas de parcelamento","Smartphone Samsung Galaxy J6 32GB Dual Chip Android 8.0 Tela 5.6"" Octa-Core 1.6GHz 4G Câmera 13MP com TV - Preto nas Lojas Americanas.com"
