,price,price_parcela,title
0,"R$ 768,99 (10% de desconto)R$ 692,09Selo PrimeEsta é uma oferta primeem 1x no cartão","R$ 768,99 em até 12x de R$ 64,08 s/ juros com Ame e receba R$ 38,45 (5% de volta) R$ 768,99 no boleto bancárioR$ 768,99 no cartão de crédito em até 7x de R$ 109,85 s/ jurosR$ 692,09 no cartão Americanas.com em até 12x de R$ 57,67 s/ juros (10% de desconto)formas de parcelamento","Smartphone LG K11+ 32GB Dual Chip Android 7.1.2 Tela 5.3"" Octa Core 1.5 Ghz 4G Câmera 13MP - Preto nas Lojas Americanas.com"
1,"R$ 768,99 (10% de desconto)R$ 692,09Selo PrimeEsta é uma oferta primeem 1x no cartão","R$ 768,99 em até 12x de R$ 64,08 s/ juros com Ame e receba R$ 38,45 (5% de volta) R$ 768,99 no boleto bancárioR$ 768,99 no cartão de crédito em até 7x de R$ 109,85 s/ jurosR$ 692,09 no cartão Americanas.com em até 12x de R$ 57,67 s/ juros (10% de desconto)formas de parcelamento","Smartphone LG K11+ 32GB  Dual Chip Android 7.0 Tela 5.3"" Octa Core 1.5 Ghz 4G Câmera 13MP - Azul nas Lojas Americanas.com"
2,"R$ 768,99 (10% de desconto)R$ 692,09Selo PrimeEsta é uma oferta primeem 1x no cartão","R$ 768,99 em até 12x de R$ 64,08 s/ juros com Ame e receba R$ 38,45 (5% de volta) R$ 768,99 no boleto bancárioR$ 768,99 no cartão de crédito em até 7x de R$ 109,85 s/ jurosR$ 692,09 no cartão Americanas.com em até 12x de R$ 57,67 s/ juros (10% de desconto)formas de parcelamento","Smartphone LG K11+ 32GB Dual Chip Android 7.0 Tela 5.3"" Octa Core 1.5 Ghz 4G Câmera 13MP - Dourado nas Lojas Americanas.com"
3,"R$ 749,00Selo PrimeEsta é uma oferta prime7x de R$ 107,00 s/ juros","R$ 749,00 em até 12x de R$ 62,41 s/ juros com Ame e receba R$ 37,45 (5% de volta) R$ 674,10 em 1x no cartão de crédito (10% de desconto)R$ 674,10 no cartão Americanas.com em até 12x de R$ 56,17 s/ juros (10% de desconto)formas de parcelamento","Smartphone Samsung Galaxy J4+ 32GB Dual Chip Android Tela Infinita 6"" Quad-Core 1.4GHz 4G Câmera 13MP - Cobre nas Lojas Americanas.com"
4,"R$ 749,00Selo PrimeEsta é uma oferta prime7x de R$ 107,00 s/ juros","R$ 749,00 em até 12x de R$ 62,41 s/ juros com Ame e receba R$ 37,45 (5% de volta) R$ 674,10 em 1x no cartão de crédito (10% de desconto)R$ 674,10 no cartão Americanas.com em até 12x de R$ 56,17 s/ juros (10% de desconto)formas de parcelamento","Smartphone Samsung Galaxy J4+ 32GB Dual Chip Android Tela Infinita 6"" Quad-Core 1.4GHz 4G Câmera 13MP - Preto nas Lojas Americanas.com"
5,"R$ 749,00 (10% de desconto)R$ 674,10Selo PrimeEsta é uma oferta primeem 1x no cartão","R$ 749,00 em até 12x de R$ 62,41 s/ juros com Ame e receba R$ 37,45 (5% de volta) R$ 749,00 no boleto bancárioR$ 749,00 no cartão de crédito em até 7x de R$ 107,00 s/ jurosR$ 674,10 no cartão Americanas.com em até 12x de R$ 56,17 s/ juros (10% de desconto)formas de parcelamento","Smartphone Samsung Galaxy J5 Prime Dual Chip Android 6.0 Tela 5"" Quad-Core 1.4 GHz 32GB 4G Wi-Fi Câmera 13MP com Leitor de Digital - Rosa nas Lojas Americanas.com"
6,"R$ 2.799,99Selo PrimeEsta é uma oferta prime10x de R$ 279,99 s/ juros","R$ 2.799,99 em até 12x de R$ 233,33 s/ juros com Ame e receba R$ 140,00 (5% de volta) R$ 2.799,99 no cartão Americanas.com em até 12x de R$ 233,33 s/ jurosformas de parcelamento","Smartphone Samsung Galaxy J7 Prime Dual Chip Android Tela 5.5"" 32GB 4G Câmera 13MP - Dourado nas Lojas Americanas.com"
7,"R$ 2.798,0010x de R$ 279,80 s/ juros","R$ 2.798,00 em até 12x de R$ 233,16 s/ juros com Ame e receba R$ 139,90 (5% de volta) R$ 2.798,00 no cartão Americanas.com em até 12x de R$ 233,16 s/ jurosformas de parcelamento","Smartphone Samsung Galaxy J7 Prime 2 Dual Chip Android 7.1 Tela 5.5"" Octa-Core 1.6GHz 32GB 4G Câmera 13MP com TV - Preto nas Lojas Americanas.com"
8,"R$ 1.650,0010x de R$ 165,00 s/ juros","R$ 1.650,00 em até 12x de R$ 137,50 s/ juros com Ame e receba R$ 82,50 (5% de volta) R$ 1.650,00 no cartão Americanas.com em até 12x de R$ 137,50 s/ jurosformas de parcelamento","Smartphone Samsung Galaxy J7 Prime 2 Dual Chip Android 7.1 Tela 5.5"" Octa-Core 1.6GHz 32GB 4G Câmera 13MP com TV - Dourado nas Lojas Americanas.com"
9,"R$ 799,00 (10% de desconto)R$ 719,10Selo PrimeEsta é uma oferta primeem 1x no cartão","R$ 799,00 em até 12x de R$ 66,58 s/ juros com Ame e receba R$ 39,95 (5% de volta) R$ 799,00 no boleto bancárioR$ 799,00 no cartão de crédito em até 8x de R$ 99,87 s/ jurosR$ 703,12 no cartão Americanas.com em até 12x de R$ 58,59 s/ juros (12% de desconto)formas de parcelamento","Smartphone Samsung Galaxy J6 32GB Dual Chip Android 8.0 Tela 5.6"" Octa-Core 1.6GHz 4G Câmera 13MP com TV - Preto nas Lojas Americanas.com"
10,"R$ 919,909x de R$ 102,21 s/ juros","R$ 919,90 em até 12x de R$ 76,65 s/ juros com Ame e receba R$ 46,00 (5% de volta) R$ 919,90 no cartão Americanas.com em até 12x de R$ 76,65 s/ jurosformas de parcelamento","Smartphone Samsung Galaxy J6 32GB Dual Chip Android 8.0 Tela 5.6"" Octa-Core 1.6GHz 4G Câmera 13MP com TV - Prata nas Lojas Americanas.com"
