price;title;de_price;por_price;a_vista;desconto_a_vista;num_parcelas;valor_parcela;format_title;manufacturer;espaco_armazenamento;modelo;cor
 de R$ 799,00   por R$ 539,10 ’‘’_ vista (10% de desconto)      ou R$ 599,00 em 10x de R$ 59,90 sem juros ;Smartphone Samsung Galaxy J2 Core 16GB Preto - 4G 1GB RAM Tela 5Î_’_Îù C’‘Î¢m. 8MP + C’‘Î¢m. Selfie 5MP - Samsung Galaxy - Magazine Luiza;799;539,1;True;10% de desconto; 10x ;59,9;"Galaxy J2 Core 16GB Preto - 4G 1GB RAM Tela 5"" C‰m. 8MP + C‰m. Selfie 5MP -Galaxy ";Samsung;16GB;Galaxy J2 Core ;Preto
 de R$ 709,00   por R$ 499,00      em 10x de R$ 49,90 sem juros ;Smartphone LG K9 16GB Dual Chip 5.0 C’‘Î¢mera 8MP Selfie 5MP Android TV Digital Android 7.0 Azul - Celular LG - Magazine Luiza;709;499;False;; 10x ;49,9;K9 16GB Dual Chip 5.0 C‰mera 8MP Selfie 5MP Android TV Digital Android 7.0 Azul - Celular;LG;16GB;K9;Azul
 de R$ 749,00   por R$ 557,10 ’‘’_ vista (10% de desconto)      ou R$ 619,00 em 10x de R$ 61,90 sem juros ;Smartphone LG K9 TV 16GB Preto 4G Quad Core - 2GB RAM Tela 5Î_’_Îù HD C’‘Î¢m. 8MP Selfie 5MP Dual Chip - LG K9 TV - Magazine Luiza;749;557,1;True;10% de desconto; 10x ;61,9;"K9 TV 16GB Preto 4G Quad Core - 2GB RAM Tela 5"" HD C‰m. 8MP Selfie 5MP Dual Chip -K9 TV ";LG;16GB;K9 TV;Preto
 de R$ 749,00   por R$ 490,41 ’‘’_ vista (10% de desconto)      ou R$ 544,90 em 10x de R$ 54,49 sem juros ;Smartphone LG K9 TV 16GB Azul Dual Chip 4G - C’‘Î¢m. 8MP + Selfie 5MP Tela 5Î_’_Îù HD Proc. Quad Core - LG K9 TV - Magazine Luiza;749;490,41;True;10% de desconto; 10x ;54,49;"K9 TV 16GB Azul Dual Chip 4G - C‰m. 8MP + Selfie 5MP Tela 5"" HD Proc. Quad Core -K9 TV ";LG;16GB;K9 TV;Azul
 de R$ 899,00   por R$ 629,10 ’‘’_ vista (10% de desconto)      ou R$ 699,00 em 10x de R$ 69,90 sem juros ;Smartphone Motorola Moto E5 16GB Ouro - Dual Chip 4G C’‘Î¢m 13MP + Selfie 5MP Flash Tela 5.7Î_’_Îù - Moto E5 - Magazine Luiza;899;629,1;True;10% de desconto; 10x ;69,9;"Moto E5 16GB Ouro - Dual Chip 4G C‰m 13MP + Selfie 5MP Flash Tela 5.7"" - Moto E5 ";Motorola;16GB;Moto E5;Ouro
 de R$ 994,00   por R$ 719,10 ’‘’_ vista (10% de desconto)      ou R$ 799,00 em 10x de R$ 79,90 sem juros ;Smartphone Motorola Moto E5 32GB Ouro 4G - Quad Core 2GB RAM Tela 5,7Î_’_Îù C’‘Î¢m. 13MP + Selfie 5MP - Moto E5 - Magazine Luiza;994;719,1;True;10% de desconto; 10x ;79,9;"Moto E5 32GB Ouro 4G - Quad Core 2GB RAM Tela 5,7"" C‰m. 13MP + Selfie 5MP - Moto E5 ";Motorola;32GB;Moto E5;Ouro
 de R$ 994,00   por R$ 719,10 ’‘’_ vista (10% de desconto)      ou R$ 799,00 em 10x de R$ 79,90 sem juros ;Smartphone Motorola Moto E5 32GB Platinum 4G - Quad Core 2GB RAM Tela 5,7Î_’_Îù C’‘Î¢m. 13MP + Selfie 5MP - Moto E5 - Magazine Luiza;994;719,1;True;10% de desconto; 10x ;79,9;"Moto E5 32GB Platinum 4G - Quad Core 2GB RAM Tela 5,7"" C‰m. 13MP + Selfie 5MP - Moto E5 ";Motorola;32GB;Moto E5;Platinum
 de R$ 994,00   por R$ 616,41 ’‘’_ vista (10% de desconto)      ou R$ 684,90 em 10x de R$ 68,49 sem juros ;Smartphone Motorola Moto E5 Play 16GB Ouro 4G - Quad Core 1GB RAM Tela 5,34Î_’_Îù C’‘Î¢m. 8MP + Selfie 5MP - Moto E5 - Magazine Luiza;994;616,41;True;10% de desconto; 10x ;68,49;"Moto E5 Play 16GB Ouro 4G - Quad Core 1GB RAM Tela 5,34"" C‰m. 8MP + Selfie 5MP - Moto E5 ";Motorola;16GB;Moto E5 Play;Ouro
 de R$ 994,00   por R$ 602,91 ’‘’_ vista (10% de desconto)      ou R$ 669,90 em 10x de R$ 66,99 sem juros ;Smartphone Motorola Moto E5 Play 16GB Preto 4G - Quad Core 1GB RAM Tela 5,34Î_’_Îù C’‘Î¢m. 8MP + Selfie 5MP - Moto E5 - Magazine Luiza;994;602,91;True;10% de desconto; 10x ;66,99;"Moto E5 Play 16GB Preto 4G - Quad Core 1GB RAM Tela 5,34"" C‰m. 8MP + Selfie 5MP - Moto E5 ";Motorola;16GB;Moto E5 Play;Preto
 de R$ 1099,00   por R$ 692,10 ’‘’_ vista (10% de desconto)      ou R$ 769,00 em 10x de R$ 76,90 sem juros ;Smartphone LG K11+ 32GB Preto Dual Chip 4G - C’‘Î¢m. 13MP + Selfie 5MP Tela 5,3Î_’_Îù HD Proc Octa Core - LG K11+ - Magazine Luiza;1099;692,1;True;10% de desconto; 10x ;76,9;"K11+ 32GB Preto Dual Chip 4G - C‰m. 13MP + Selfie 5MP Tela 5,3"" HD Proc Octa Core -K11+ ";LG;32GB;K11+;Preto
 de R$ 1099,00   por R$ 692,10 ’‘’_ vista (10% de desconto)      ou R$ 769,00 em 10x de R$ 76,90 sem juros ;Smartphone LG K11+ 32GB Dourado 4G Octa Core - 3GB RAM Tela 5,3Î_’_Îù C’‘Î¢m. 13MP + Selfie 5MP Dual Chip - LG K11+ - Magazine Luiza;1099;692,1;True;10% de desconto; 10x ;76,9;"K11+ 32GB Dourado 4G Octa Core - 3GB RAM Tela 5,3"" C‰m. 13MP + Selfie 5MP Dual Chip -K11+ ";LG;32GB;K11+;Dourado
 de R$ 1099,00   por R$ 692,10 ’‘’_ vista (10% de desconto)      ou R$ 769,00 em 10x de R$ 76,90 sem juros ;Smartphone LG K11+ 32GB Azul 4G Octa Core - 3GB RAM Tela 5,3Î_’_Îù C’‘Î¢m. 13MP + Selfie 5MP Dual Chip - LG K11+ - Magazine Luiza;1099;692,1;True;10% de desconto; 10x ;76,9;"K11+ 32GB Azul 4G Octa Core - 3GB RAM Tela 5,3"" C‰m. 13MP + Selfie 5MP Dual Chip -K11+ ";LG;32GB;K11+;Azul
 de R$ 838,67   por R$ 719,00      em 10x de R$ 71,90 sem juros ;Smartphone LG K11 Plus Preto 32GB Tela 5,3Î_’_Îù Dual Chip Octa Core C’‘Î¢mera 13MP - LG K11+ - Magazine Luiza;838,67;719;False;; 10x ;71,9;"K11 Plus Preto 32GB Tela 5,3"" Dual Chip Octa Core C‰mera 13MP -K11+ ";LG;32GB;K11 Plus;Preto
 de R$ 838,67   por R$ 719,00      em 10x de R$ 71,90 sem juros ;Smartphone LG K11+ Dourado 32GB Tela 5,3Î_’_Îù Dual Chip Octa Core C’‘Î¢mera 13MP - LG K11+ - Magazine Luiza;838,67;719;False;; 10x ;71,9;"K11+ Dourado 32GB Tela 5,3"" Dual Chip Octa Core C‰mera 13MP -K11+ ";LG;32GB;K11+;Dourado
