price;price_parcela;title;a_vista_price;desconto_a_vista;porcentagem_desconto_a_vista;qtd_de_parcelas;valor_parcelas;a_vista_ame;qtd_de_parcelas_ame;valor_parcelas_ame;receber_de_volta_ame;numero_parcelas_em_1x_no_cartao_ou_cartao_americanas;valor_parcelas_em_1x_no_cartao_ou_cartao_americanas;no_boleto;em_1x_no_cartao_de_credito;manufacturer;modelo;memoria;cor
R$ 1332,22 (10% de desconto)R$ 1198,99Selo PrimeEsta Í© uma oferta primeem 1x no cartÍ£o;R$ 1332,22 em atÍ© 12x de R$ 111,01 s/ juros com Ame e receba R$ 66,62 (5% de volta) R$ 1332,22 no boleto bancÍçrioR$ 1332,22 no cartÍ£o de crÍ©dito em atÍ© 10x de R$ 133,22 s/ jurosR$ 1332,22 no cartÍ£o Americanascom em atÍ© 12x de R$ 111,01 s/ jurosformas de parcelamento;"Smartphone Motorola Moto G7 64GB Dual Chip Android Pie - 9.0 Tela 6.24"" 1.8 GHz Octa-Core 4G CÍ¢mera 12 + 5MP (Dual Traseira)- Branco Polar nas Lojas Americanas.com";1332,22;True;10;0;0;1332,22;12x;111,01;66,62;12x;133,22;1332,22;1332,22;Motorola;Moto G7;64GB;Branco
R$ 779,00Selo PrimeEsta Í© uma oferta prime7x de R$ 111,28 s/ juros;R$ 779,00 em atÍ© 12x de R$ 64,91 s/ juros com Ame e receba R$ 38,95 (5% de volta) R$ 779,00 no cartÍ£o Americanascom em atÍ© 12x de R$ 64,91 s/ jurosformas de parcelamento;"Smartphone Samsung Galaxy J4 32GB Dual Chip Android 8.0 Tela 5.5"" Quad-Core 1.4GHz 4G CÍ¢mera 13MP - Prata nas Lojas Americanas.com";779;False;0;0;111,28;779;12x;64,91;38,95;12x;64,91;0;0;Samsung;Galaxy J4;32GB;Prata
R$ 1399,9010x de R$ 139,99 s/ juros;R$ 1399,90 em atÍ© 12x de R$ 116,65 s/ juros com Ame e receba R$ 70,00 (5% de volta) R$ 1399,90 no cartÍ£o Americanascom em atÍ© 12x de R$ 116,65 s/ jurosformas de parcelamento;"Smartphone Samsung Galaxy J6 64GB Dual Chip Android 8.0 Tela 5.6"" Octa-Core 1.6GHz 4G CÍ¢mera 13MP - Preto nas Lojas Americanas.com";1399,9;False;0;10x;139,99;1399,9;12x;116,65;70;12x;116,65;0;0;Samsung;Galaxy J6;64GB;Preto
R$ 1199,9010x de R$ 119,99 s/ juros;R$ 1199,90 em atÍ© 12x de R$ 99,99 s/ juros com Ame e receba R$ 60,00 (5% de volta) R$ 1199,90 no cartÍ£o Americanascom em atÍ© 12x de R$ 99,99 s/ jurosformas de parcelamento;"Smartphone Samsung Galaxy J6 64GB Dual Chip Android 8.0 Tela 5.6"" Octa-Core 1.6GHz 4G CÍ¢mera 13MP - Prata nas Lojas Americanas.com";1199,9;False;0;10x;119,99;1199,9;12x;99,99;60;12x;99,99;0;0;Samsung;Galaxy J6;64GB;Prata
R$ 889,00 (10% de desconto)R$ 800,10no boleto ou em 1x no cartÕ£o;R$ 889,00 em atÕ© 10x de R$ 88,90 s/ juros com Ame e receba R$ 44,45 (5% de volta) R$ 889,00 no cartÍ£o de crÍ©dito em atÕ© 10x de R$ 88,90 s/ jurosR$ 800,10 em 1x no cartÕ£o Americanascom (10% de desconto) ou R$ 889,00 em atÕ© 10x de R$ 88,90 s/ jurosformas de parcelamento;"Smartphone Asus Zenfone Max Pro (M1) 32GB Dual Chip Android Oreo Tela 6"" Qualcomm Snapdragon SDM636  4G CÕ¢mera  13 + 5MP (Dual Traseira) - Prata nas Lojas Americanas.com";889;True;10;0;0;889;10x;88,9;44,45;;88,9;0;889;Asus;Zenfone Max Pro;32GB;Prata
R$ 899,99Selo PrimeEsta Õ© uma oferta prime9x de R$ 99,99 s/ juros;R$ 899,99 em atÕ© 12x de R$ 74,99 s/ juros com Ame e receba R$ 45,00 (5% de volta) R$ 899,99 no cartÕ£o Americanascom em atÕ© 12x de R$ 74,99 s/ jurosformas de parcelamento;"Smartphone Asus Zenfone Max Pro (M1) 32GB Dual Chip Android Oreo Tela 6"" Qualcomm Snapdragon SDM636  4G CÕ¢mera  13 + 5MP (Dual Traseira) - Preto nas Lojas Americanas.com";899,99;False;0;0;99,99;899,99;12x;74,99;45;;;0;0;Asus;Zenfone Max Pro;32GB;Preto
R$ 749,907x de R$ 107,12 s/ juros;R$ 749,90 em atÕ© 12x de R$ 62,49 s/ juros com Ame e receba R$ 37,50 (5% de volta) R$ 749,90 no cartÕ£o Americanascom em atÕ© 12x de R$ 62,49 s/ jurosformas de parcelamento;"Smartphone Zenfone Max M1 32GB Dual Chip Android 7 Tela 5.2"" Qualcomm Snapdragon 425 4G CÕ¢mera 13 + 5MP (Dual Traseira) - Preto nas Lojas Americanas.com";749,9;False;0;07x;107,12;749,9;12x;62,49;37,5;;;0;0;Asus;Zenfone Max;32GB;Preto
R$ 1279,00Selo PrimeEsta Õ© uma oferta prime10x de R$ 127,90 s/ juros;R$ 1279,00 em atÕ© 12x de R$ 106,58 s/ juros com Ame e receba R$ 63,95 (5% de volta) R$ 1253,42 no boleto bancÕçrio (2% de desconto)R$ 1279,00 no cartÕ£o Americanascom em atÕ© 12x de R$ 106,58 s/ jurosformas de parcelamento;"Smartphone Asus Zenfone Max Pro M1 64gb/4gb Dual Chip Android 8.0 Tela Fhd 6.0""+ Qualcomm Snapdragon 1.8ghz 4g CÕ¢mera Dual 16mp+5mp - Prata nas Lojas Americanas.com";1279;False;0;10x;127,9;1279;12x;106,58;63,95;;;1253,42;0;Asus;Zenfone Max Pro;64GB;Prata
R$ 1141,7610x de R$ 114,17 s/ juros;R$ 1141,76 em atÕ© 12x de R$ 95,14 s/ juros com Ame e receba R$ 57,09 (5% de volta) R$ 1141,76 no cartÕ£o Americanascom em atÕ© 12x de R$ 95,14 s/ jurosformas de parcelamento;"Smartphone Zenfone Max M1 32GB Dual Chip Android 7 Tela 5.2"" Qualcomm Snapdragon 425 4G CÕ¢mera 13 + 5MP (Dual Traseira) - Dourado nas Lojas Americanas.com";1141,76;False;0;10x;114,17;1141,76;12x;95,14;57,09;;;0;0;Asus;Zenfone Max;32GB;Dourado
R$ 799,90 (5% de desconto)R$ 759,90no boleto ou em 1x no cartÕ£o;R$ 799,90 em atÕ© 12x de R$ 66,65 s/ juros com Ame e receba R$ 40,00 (5% de volta) R$ 799,90 no cartÍ£o de crÍ©dito em atÕ© 8x de R$ 99,98 s/ jurosR$ 759,90 em 1x no cartÕ£o Americanascom (5% de desconto) ou R$ 799,90 em atÕ© 12x de R$ 66,65 s/ jurosformas de parcelamento;"Smartphone Asus Zenfone Live Dual Chip Android 6.0 Tela 5"" Snapdragon 16GB 4G Wi-Fi CÕ¢mera 13MP - Preto nas Lojas Americanas.com";799,9;True;5;0;0;799,9;12x;66,65;40;;99,98;0;799,9;Asus;Zenfone Live;16GB;Preto
R$ 899,99Selo PrimeEsta Õ© uma oferta prime9x de R$ 99,99 s/ juros;R$ 899,99 em atÕ© 12x de R$ 74,99 s/ juros com Ame e receba R$ 45,00 (5% de volta) R$ 899,99 no cartÕ£o Americanascom em atÕ© 12x de R$ 74,99 s/ jurosformas de parcelamento;"Smartphone Asus Zenfone Max Pro (M1) 32GB Dual Chip Android Oreo Tela 6"" Qualcomm Snapdragon SDM636  4G CÕ¢mera  13 + 5MP (Dual Traseira) - Azul nas Lojas Americanas.com";899,99;False;0;0;99,99;899,99;12x;74,99;45;;;0;0;Asus;Zenfone Max Pro;32GB;Azul
R$ 1776,67Selo PrimeEsta Õ© uma oferta prime10x de R$ 177,66 s/ juros;R$ 1776,67 em atÕ© 12x de R$ 148,05 s/ juros com Ame e receba R$ 88,84 (5% de volta) R$ 1599,00 em 1x no cartÍ£o de crÍ©dito (10% de desconto)R$ 1599,00 no cartÕ£o Americanascom em atÕ© 12x de R$ 133,25 s/ juros (10% de desconto)formas de parcelamento;"Smartphone Asus Zenfone 5 64GB Dual Chip Android Oreo Tela 6.2"" Snapdragon 636 Octacore 4G CÕ¢mera 12MP + 8MP (Dual Traseira) 3300mAh - Prata nas Lojas Americanas.com";1776,67;False;0;10x;177,66;1776,67;12x;148,05;88,84;;133,25;0;1599;Asus;Zenfone 5;64GB;Prata
R$ 1776,67 (10% de desconto)R$ 1599,00Selo PrimeEsta Õ© uma oferta primeem 1x no cartÕ£o;R$ 1776,67 em atÕ© 12x de R$ 148,05 s/ juros com Ame e receba R$ 88,84 (5% de volta) R$ 1776,67 no boleto bancÕçrioR$ 1776,67 no cartÕ£o de crÕ©dito em atÕ© 10x de R$ 177,66 s/ jurosR$ 1599,00 no cartÕ£o Americanascom em atÕ© 12x de R$ 133,25 s/ juros (10% de desconto)formas de parcelamento;"Smartphone Asus Zenfone 5 64GB Dual Chip Android Oreo Tela 6.2"" Snapdragon 636 Octacore 4G CÕ¢mera 12MP + 8MP (Dual Traseira) 3300mAh - Preto nas Lojas Americanas.com";1776,67;True;10;0;0;1776,67;12x;148,05;88,84;;;1776,67;0;Asus;Zenfone 5;64GB;Preto
R$ 1299,00 (10% de desconto)R$ 1169,10no boleto ou em 1x no cartÕ£o;R$ 1299,00 em atÕ© 12x de R$ 108,25 s/ juros com Ame e receba R$ 64,95 (5% de volta) R$ 1299,00 no cartÍ£o de crÍ©dito em atÕ© 10x de R$ 129,90 s/ jurosR$ 1169,10 em 1x no cartÕ£o Americanascom (10% de desconto) ou R$ 1299,00 em atÕ© 12x de R$ 108,25 s/ jurosformas de parcelamento;"Smartphone Motorola One 64GB Dual Chip Android Oreo 8.1 Tela 5.9"" 2.0 GHz Octa-Core Qualcomm 4G CÕ¢mera 13 + 2MP (Dual Traseira) - Branco nas Lojas Americanas.com";1299;True;10;0;0;1299;12x;108,25;64,95;;129,9;0;1299;Motorola;One;64GB;Branco
R$ 1299,00Selo PrimeEsta Õ© uma oferta prime10x de R$ 129,90 s/ juros;R$ 1299,00 em atÕ© 12x de R$ 108,25 s/ juros com Ame e receba R$ 64,95 (5% de volta) R$ 1169,10 em 1x no cartÍ£o de crÍ©dito (10% de desconto)R$ 1169,10 no cartÕ£o Americanascom em atÕ© 12x de R$ 97,42 s/ juros (10% de desconto)formas de parcelamento;"Smartphone Motorola One 64GB Dual Chip Android Oreo 8.1 Tela 5.9"" 2.0 GHz Octa-Core Qualcomm 4G CÕ¢mera 13 + 2MP (Dual Traseira) - Preto nas Lojas Americanas.com";1299;False;0;10x;129,9;1299;12x;108,25;64,95;;97,42;0;1169,1;Motorola;One;64GB;Preto
R$ 768,99 (10% de desconto)R$ 692,09Selo PrimeEsta Õ© uma oferta primeem 1x no cartÕ£o;R$ 768,99 em atÕ© 12x de R$ 64,08 s/ juros com Ame e receba R$ 38,45 (5% de volta) R$ 768,99 no boleto bancÕçrioR$ 768,99 no cartÍ£o de crÍ©dito em atÕ© 7x de R$ 109,85 s/ jurosR$ 692,09 no cartÕ£o Americanascom em atÕ© 12x de R$ 57,67 s/ juros (10% de desconto)formas de parcelamento;"Smartphone LG K11+ 32GB Dual Chip Android 7.1.2 Tela 5.3"" Octa Core 1.5 Ghz 4G CÕ¢mera 13MP - Preto nas Lojas Americanas.com";768,99;True;10;0;0;768,99;12x;64,08;38,45;;109,85;768,99;768,99;LG;K11+;32GB;Preto
R$ 768,99 (10% de desconto)R$ 692,09Selo PrimeEsta Õ© uma oferta primeem 1x no cartÕ£o;R$ 768,99 em atÕ© 12x de R$ 64,08 s/ juros com Ame e receba R$ 38,45 (5% de volta) R$ 768,99 no boleto bancÕçrioR$ 768,99 no cartÍ£o de crÍ©dito em atÕ© 7x de R$ 109,85 s/ jurosR$ 692,09 no cartÕ£o Americanascom em atÕ© 12x de R$ 57,67 s/ juros (10% de desconto)formas de parcelamento;"Smartphone LG K11+ 32GB  Dual Chip Android 7.0 Tela 5.3"" Octa Core 1.5 Ghz 4G CÕ¢mera 13MP - Azul nas Lojas Americanas.com";768,99;True;10;0;0;768,99;12x;64,08;38,45;;109,85;768,99;768,99;LG;K11+;32GB;Azul
R$ 768,99 (10% de desconto)R$ 692,09Selo PrimeEsta Õ© uma oferta primeem 1x no cartÕ£o;R$ 768,99 em atÕ© 12x de R$ 64,08 s/ juros com Ame e receba R$ 38,45 (5% de volta) R$ 768,99 no boleto bancÕçrioR$ 768,99 no cartÍ£o de crÍ©dito em atÕ© 7x de R$ 109,85 s/ jurosR$ 692,09 no cartÕ£o Americanascom em atÕ© 12x de R$ 57,67 s/ juros (10% de desconto)formas de parcelamento;"Smartphone LG K11+ 32GB Dual Chip Android 7.0 Tela 5.3"" Octa Core 1.5 Ghz 4G CÕ¢mera 13MP - Dourado nas Lojas Americanas.com";768,99;True;10;0;0;768,99;12x;64,08;38,45;;109,85;768,99;768,99;LG;K11+;32GB;Douraod
R$ 1299,00Selo PrimeEsta Õ© uma oferta prime10x de R$ 129,90 s/ juros;R$ 1299,00 em atÕ© 12x de R$ 108,25 s/ juros com Ame e receba R$ 64,95 (5% de volta) R$ 1169,10 no cartÕ£o Americanascom em atÕ© 12x de R$ 97,42 s/ juros (10% de desconto)formas de parcelamento;"Smartphone LG QNote+ 64GB Dual Chip Android  8.1.0 (oreo) Tela 6.2"" Full HD+ (18:9) Octa Core 1.5 Ghz 4G CÕ¢mera 16MP - Preto nas Lojas Americanas.com";1299;False;0;10x;129,9;1299;12x;108,25;64,95;;;0;0;LG;Qnote+;64GB;Preto
R$ 1359,89Selo PrimeEsta Õ© uma oferta prime10x de R$ 135,98 s/ juros;R$ 1359,89 em atÕ© 12x de R$ 113,32 s/ juros com Ame e receba R$ 68,00 (5% de volta) R$ 1359,89 no cartÕ£o Americanascom em atÕ© 12x de R$ 113,32 s/ jurosformas de parcelamento;"Smartphone LG Q7+ Dual Chip Android 8.1.0 Oreo Tela 5.5"" Octa-Core 1.5 Ghz 64GB 4G CÕ¢mera 16MP com TV - Preto nas Lojas Americanas.com";1359,89;False;0;10x;135,98;1359,89;12x;113,32;68;;;0;0;LG;Q7+;64GB;Preto
R$ 2779,99Selo PrimeEsta Õ© uma oferta prime10x de R$ 277,99 s/ juros;R$ 2779,99 em atÕ© 12x de R$ 231,66 s/ juros com Ame e receba R$ 139,00 (5% de volta) R$ 2501,99 em 1x no cartÍ£o de crÍ©dito (10% de desconto)R$ 2501,99 no cartÕ£o Americanascom em atÕ© 12x de R$ 208,49 s/ juros (10% de desconto)formas de parcelamento;"Smartphone LG G7 Thinq Dual Chip Android 8.0 Tela 6.1"" QHD+ Fullvision Qualcomm Snapdragon 845 64GB 4G CÕ¢mera 16 + 16MP (Dual Traseira) - Preto nas Lojas Americanas.com";2779,99;False;0;10x;277,99;2779,99;12x;231,66;139;;208,49;0;2501,99;LG;G& Thinq;64GB;Preto
R$ 1295,0010x de R$ 129,50 s/ juros;R$ 1295,00 em atÕ© 12x de R$ 107,91 s/ juros com Ame e receba R$ 64,75 (5% de volta) R$ 1295,00 no cartÕ£o Americanascom em atÕ© 12x de R$ 107,91 s/ jurosformas de parcelamento;"Smartphone LG Q6 Plus Dual Chip Android 7.0 Tela 5.5"" Full Hd+ Snapdragon  MSM8940 64GB 4G CÕ¢mera 13MP - Platinum nas Lojas Americanas.com";1295;False;0;10x;129,5;1295;12x;107,91;64,75;;;0;0;LG;Q6 Plus;64GB;Platinum
