price;price_parcela;title;a_vista_price;desconto_a_vista;porcentagem_desconto_a_vista;qtd_de_parcelas;valor_parcelas;a_vista_ame;qtd_de_parcelas_ame;valor_parcelas_ame;receber_de_volta_ame;numero_parcelas_em_1x_no_cartao_ou_cartao_americanas;valor_parcelas_em_1x_no_cartao_ou_cartao_americanas;no_boleto;em_1x_no_cartao_de_credito;manufacturer;modelo;memoria;cor
R$ 2098,99Selo PrimeEsta Í© uma oferta prime10x de R$ 209,89 s/ juros;R$ 2098,99 em atÍ© 12x de R$ 174,91 s/ juros com Ame e receba R$ 104,95 (5% de volta) R$ 1889,09 em 1x no cartÍ£o de crÍ©dito (10% de desconto)R$ 1889,09 no cartÍ£o Americanascom em atÍ© 12x de R$ 157,42 s/ juros (10% de desconto)formas de parcelamento;"iPhone 6s 32GB RosÍ_ Tela Retina HD 4,7"" 3D Touch CÍ¢mera 12MP - Apple nas Lojas Americanas.com";2098,99;False;0;10x;209,89;2098,99;12x;174,91;104,95;12x;157,42;0;1889,09;Apple;Iphone 6s;32GB;Rosê
R$ 1989,0010x de R$ 198,90 s/ juros;R$ 1989,00 em atÍ© 12x de R$ 165,75 s/ juros com Ame e receba R$ 298,35 (15% de volta) R$ 1790,10 em 1x no cartÍ£o Americanascom (10% de desconto) ou R$ 1989,00 em atÍ© 12x de R$ 165,75 s/ jurosformas de parcelamento;"Iphone 6 32GB Dourado, Tela 4.7"" IOS 8, CÍ¢mera 8MP, 4G Processador 1.4 Ghz Dual Core - Apple nas Lojas Americanas.com";1989;False;0;10x;198,9;1989;12x;165,75;298,35;12x;165,75;0;0;Apple;Iphone 6;32GB;Dourado
R$ 2098,99Selo PrimeEsta Í© uma oferta prime10x de R$ 209,89 s/ juros;R$ 2098,99 em atÍ© 12x de R$ 174,91 s/ juros com Ame e receba R$ 104,95 (5% de volta) R$ 1889,09 em 1x no cartÍ£o de crÍ©dito (10% de desconto)R$ 1889,09 no cartÍ£o Americanascom em atÍ© 12x de R$ 157,42 s/ juros (10% de desconto)formas de parcelamento;"iPhone 6s 32GB Cinza Tela Retina HD 4,7"" 3D Touch CÍ¢mera 12MP - Apple nas Lojas Americanas.com";2098,99;False;0;10x;209,89;2098,99;12x;174,91;104,95;12x;157,42;0;1889,09;Apple;Iphone 6s;32GB;Cinza
R$ 2748,99 (10% de desconto)R$ 2474,09Selo PrimeEsta Í© uma oferta primeem 1x no cartÍ£o;R$ 2748,99 em atÍ© 12x de R$ 229,08 s/ juros com Ame e receba R$ 137,45 (5% de volta) R$ 2748,99 no boleto bancÍçrioR$ 2748,99 no cartÍ£o de crÍ©dito em atÍ© 10x de R$ 274,89 s/ jurosR$ 2474,09 no cartÍ£o Americanascom em atÍ© 12x de R$ 206,17 s/ juros (10% de desconto)formas de parcelamento;iPhone 7 32GB Ouro Rosa Desbloqueado IOS 10 Wi-fi + 4G CÍ¢mera 12MP - Apple nas Lojas Americanas.com;2748,99;True;10;0;0;2748,99;12x;229,08;137,45;12x;274,89;2748,99;2748,99;Apple;Iphone 7;32GB;Ouro
R$ 3199,00 (10% de desconto)R$ 2879,10Selo PrimeEsta Í© uma oferta primeem 1x no cartÍ£o;R$ 3199,00 em atÍ© 12x de R$ 266,58 s/ juros com Ame e receba R$ 159,95 (5% de volta) R$ 3199,00 no boleto bancÍçrioR$ 3199,00 no cartÍ£o de crÍ©dito em atÍ© 10x de R$ 319,90 s/ jurosR$ 2879,10 no cartÍ£o Americanascom em atÍ© 12x de R$ 239,92 s/ juros (10% de desconto)formas de parcelamento;"iPhone 7 Plus 32GB Ouro Rosa Tela Retina HD 5,5"" 3D Touch CÍ¢mera Dupla de 12MP - Apple nas Lojas Americanas.com";3199;True;10;0;0;3199;12x;266,58;159,95;12x;319,9;3199;3199;Apple;Iphone 7 Plus;32GB;Oura
R$ 3379,00Selo PrimeEsta Í© uma oferta prime10x de R$ 337,90 s/ juros;R$ 3379,00 em atÍ© 12x de R$ 281,58 s/ juros com Ame e receba R$ 168,95 (5% de volta) R$ 3041,10 em 1x no cartÍ£o de crÍ©dito (10% de desconto)R$ 3041,10 no cartÍ£o Americanascom em atÍ© 12x de R$ 253,42 s/ juros (10% de desconto)formas de parcelamento;"iPhone 8 64GB Dourado Tela 4.7"" IOS 4G CÍ¢mera 12MP - Apple nas Lojas Americanas.com";3379;False;0;10x;337,9;3379;12x;281,58;168,95;12x;253,42;0;3041,1;Apple;Iphone 8;64GB;Dourado
R$ 3499,00 (10% de desconto)R$ 3149,10Selo PrimeEsta Í© uma oferta primeem 1x no cartÍ£o;R$ 3499,00 em atÍ© 12x de R$ 291,58 s/ juros com Ame e receba R$ 174,95 (5% de volta) R$ 3499,00 no boleto bancÍçrioR$ 3499,00 no cartÍ£o de crÍ©dito em atÍ© 10x de R$ 349,90 s/ jurosR$ 3149,10 no cartÍ£o Americanascom em atÍ© 12x de R$ 262,42 s/ juros (10% de desconto)formas de parcelamento;"iPhone 8 64GB Cinza Espacial Tela 4.7"" IOS 4G CÍ¢mera 12MP - Apple nas Lojas Americanas.com";3499;True;10;0;0;3499;12x;291,58;174,95;12x;349,9;3499;3499;Apple;Iphone 8;64GB;Cinza
R$ 2776,76 (10% de desconto)R$ 2499,08Selo PrimeEsta Í© uma oferta primeem 1x no cartÍ£o;R$ 2776,76 em atÍ© 12x de R$ 231,39 s/ juros com Ame e receba R$ 138,84 (5% de volta) R$ 2776,76 no boleto bancÍçrioR$ 2776,76 no cartÍ£o de crÍ©dito em atÍ© 10x de R$ 277,67 s/ jurosR$ 2499,08 no cartÍ£o Americanascom em atÍ© 12x de R$ 208,25 s/ juros (10% de desconto)formas de parcelamento;iPhone 7 32GB Preto Matte Desbloqueado IOS 10 Wi-fi + 4G CÍ¢mera 12MP - Apple nas Lojas Americanas.com;2776,76;True;10;0;0;2776,76;12x;231,39;138,84;12x;277,67;2776,76;2776,76;Apple;Iphone 7;32GB;Preto Matte
R$ 2110,00 (10% de desconto)R$ 1899,00Selo PrimeEsta Í© uma oferta primeem 1x no cartÍ£o;R$ 2110,00 em atÍ© 12x de R$ 175,83 s/ juros com Ame e receba R$ 105,50 (5% de volta) R$ 2110,00 no boleto bancÍçrioR$ 2110,00 no cartÍ£o de crÍ©dito em atÍ© 10x de R$ 211,00 s/ jurosR$ 1899,00 no cartÍ£o Americanascom em atÍ© 12x de R$ 158,25 s/ juros (10% de desconto)formas de parcelamento;"iPhone 6s 32GB Prata Tela Retina HD 4,7"" 3D Touch CÍ¢mera 12MP - Apple nas Lojas Americanas.com";2110;True;10;0;0;2110;12x;175,83;105,5;12x;211;2110;2110;Apple;Iphone 6s;32GB;Prata
R$ 1914,99Selo PrimeEsta Í© uma oferta prime10x de R$ 191,49 s/ juros;R$ 1914,99 em atÍ© 12x de R$ 159,58 s/ juros com Ame e receba R$ 95,75 (5% de volta) R$ 1723,49 em 1x no cartÍ£o Americanascom (10% de desconto) ou R$ 1914,99 em atÍ© 12x de R$ 159,58 s/ jurosformas de parcelamento;"iPhone 6 32gb Cinza Espacial, tela 4.7"" IOS 10, Camera 8MP, 4G Processador A8 1.4 GHz Dual Core - Apple nas Lojas Americanas.com";1914,99;False;0;10x;191,49;1914,99;12x;159,58;95,75;12x;159,58;0;0;Apple;Iphone 6;32GB;Cinza
R$ 2098,99 (10% de desconto)R$ 1889,09Selo PrimeEsta Í© uma oferta primeem 1x no cartÍ£o;R$ 2098,99 em atÍ© 12x de R$ 174,91 s/ juros com Ame e receba R$ 104,95 (5% de volta) R$ 2098,99 no boleto bancÍçrioR$ 2098,99 no cartÍ£o de crÍ©dito em atÍ© 10x de R$ 209,89 s/ jurosR$ 1889,09 no cartÍ£o Americanascom em atÍ© 12x de R$ 157,42 s/ juros (10% de desconto)formas de parcelamento;"iPhone 6S 32GB Dourado Tela 4,7"" IOS 4G CÍ¢mera 12MP - Apple nas Lojas Americanas.com";2098,99;True;10;0;0;2098,99;12x;174,91;104,95;12x;209,89;2098,99;2098,99;Apple;Iphone 6s;32GB;Dourado
R$ 3199,00Selo PrimeEsta Í© uma oferta prime10x de R$ 319,90 s/ juros;R$ 3199,00 em atÍ© 12x de R$ 266,58 s/ juros com Ame e receba R$ 159,95 (5% de volta) R$ 2879,10 em 1x no cartÍ£o de crÍ©dito (10% de desconto)R$ 2879,10 no cartÍ£o Americanascom em atÍ© 12x de R$ 239,92 s/ juros (10% de desconto)formas de parcelamento;"iPhone 7 Plus 32GB Preto Matte Tela Retina HD 5,5"" 3D Touch CÍ¢mera Dupla de 12MP - Apple nas Lojas Americanas.com";3199;False;0;10x;319,9;3199;12x;266,58;159,95;12x;239,92;0;2879,1;Apple;Iphone 7;32GB;Preto Matte
R$ 3499,00Selo PrimeEsta Í© uma oferta prime10x de R$ 349,90 s/ juros;R$ 3499,00 em atÍ© 12x de R$ 291,58 s/ juros com Ame e receba R$ 174,95 (5% de volta) R$ 3149,10 em 1x no cartÍ£o de crÍ©dito (10% de desconto)R$ 3149,10 no cartÍ£o Americanascom em atÍ© 12x de R$ 262,42 s/ juros (10% de desconto)formas de parcelamento;"iPhone 8 64GB Prata Tela 4.7"" IOS 4G CÍ¢mera 12MP - Apple nas Lojas Americanas.com";3499;False;0;10x;349,9;3499;12x;291,58;174,95;12x;262,42;0;3149,1;Apple;Iphone 8;64GB;Prata
R$ 3665,56Selo PrimeEsta Í© uma oferta prime10x de R$ 366,55 s/ juros;R$ 3665,56 em atÍ© 12x de R$ 305,46 s/ juros com Ame e receba R$ 183,28 (5% de volta) R$ 3299,00 em 1x no cartÍ£o de crÍ©dito (10% de desconto)R$ 3299,00 no cartÍ£o Americanascom em atÍ© 12x de R$ 274,91 s/ juros (10% de desconto)formas de parcelamento;"iPhone 7 Plus 128GB Preto Matte Tela Retina HD 5,5"" 3D Touch CÍ¢mera Dupla de 12MP - Apple nas Lojas Americanas.com";3665,56;False;0;10x;366,55;3665,56;12x;305,46;183,28;12x;274,91;0;3299;Apple;Iphone 7 Plus;128GB;Preto Matte
R$ 2589,0010x de R$ 258,90 s/ juros;R$ 2589,00 em atÍ© 12x de R$ 215,75 s/ juros com Ame e receba R$ 129,45 (5% de volta) R$ 2330,10 em 1x no cartÍ£o Americanascom (10% de desconto) ou R$ 2589,00 em atÍ© 12x de R$ 215,75 s/ jurosformas de parcelamento;Usado: Iphone 7 Plus 128gb Preto Matte nas Lojas Americanas.com;2589;False;0;10x;258,9;2589;12x;215,75;129,45;12x;215,75;0;0;Apple;Iphone 7 Plus;128GB;Preto Matte
R$ 6200,0010x de R$ 620,00 s/ juros;R$ 6200,00 em atÍ© 12x de R$ 516,66 s/ juros com Ame e receba R$ 310,00 (5% de volta) R$ 5580,00 em 1x no cartÍ£o Americanascom (10% de desconto) ou R$ 6200,00 em atÍ© 12x de R$ 516,66 s/ jurosformas de parcelamento;"iPhone X Cinza Espacial 64GB Tela 5.8"" IOS 11 4G Wi-Fi CÍ¢mera 12MP - Apple nas Lojas Americanas.com";6200;False;0;10x;620;6200;12x;516,66;310;12x;516,66;0;0;Apple;Iphone X;64GB;Cinza
R$ 4499,00 (7% de desconto)R$ 4169,0010x de R$ 416,90 s/ juros;R$ 4169,00 em atÍ© 12x de R$ 347,41 s/ juros com Ame e receba R$ 208,45 (5% de volta) R$ 3752,10 em 1x no cartÍ£o Americanascom (10% de desconto) ou R$ 4169,00 em atÍ© 12x de R$ 347,41 s/ jurosformas de parcelamento;Usado: Iphone X Apple 256gb Cinza nas Lojas Americanas.com;4499;True;7;10x;416,9;4169;12x;347,41;208,45;12x;347,41;0;0;Apple;Iphone X;256GB;Cinza
R$ 4999,9010x de R$ 499,99 s/ juros;R$ 4999,90 em atÍ© 12x de R$ 416,65 s/ juros com Ame e receba R$ 250,00 (5% de volta) R$ 4499,91 em 1x no cartÍ£o Americanascom (10% de desconto) ou R$ 4999,90 em atÍ© 12x de R$ 416,65 s/ jurosformas de parcelamento;"iPhone X Prata 64GB Tela 5.8"" IOS 11 4G Wi-Fi CÍ¢mera 12MP - Apple nas Lojas Americanas.com";4999,9;False;0;10x;499,99;4999,9;12x;416,65;250;12x;416,65;0;0;Apple;Iphone X;64GB;Prata
R$ 2776,76Selo PrimeEsta Í© uma oferta prime10x de R$ 277,67 s/ juros;R$ 2776,76 em atÍ© 12x de R$ 231,39 s/ juros com Ame e receba R$ 138,84 (5% de volta) R$ 2499,08 em 1x no cartÍ£o de crÍ©dito (10% de desconto)R$ 2499,08 no cartÍ£o Americanascom em atÍ© 12x de R$ 208,25 s/ juros (10% de desconto)formas de parcelamento;iPhone 7 32GB Dourado Desbloqueado IOS 10 Wi-fi + 4G CÍ¢mera 12MP - Apple nas Lojas Americanas.com;2776,76;False;0;10x;277,67;2776,76;12x;231,39;138,84;12x;208,25;0;2499,08;Apple;Iphone 7;32GB;Dourado
R$ 3665,56Selo PrimeEsta Í© uma oferta prime10x de R$ 366,55 s/ juros;R$ 3665,56 em atÍ© 12x de R$ 305,46 s/ juros com Ame e receba R$ 183,28 (5% de volta) R$ 3299,00 em 1x no cartÍ£o de crÍ©dito (10% de desconto)R$ 3299,00 no cartÍ£o Americanascom em atÍ© 12x de R$ 274,91 s/ juros (10% de desconto)formas de parcelamento;"iPhone 7 Plus 128GB Ouro Rosa Tela Retina HD 5,5"" 3D Touch CÍ¢mera Dupla de 12MP - Apple nas Lojas Americanas.com";3665,56;False;0;10x;366,55;3665,56;12x;305,46;183,28;12x;274,91;0;3299;Apple;Iphone 7 Plus;128GB;Ouro Rosa
R$ 2699,0010x de R$ 269,90 s/ juros;R$ 2699,00 em atÍ© 12x de R$ 224,91 s/ juros com Ame e receba R$ 404,85 (15% de volta) R$ 2429,10 em 1x no cartÍ£o Americanascom (10% de desconto) ou R$ 2699,00 em atÍ© 12x de R$ 224,91 s/ jurosformas de parcelamento;Usado:iphone 7 Plus Apple 128gb Preto Matte nas Lojas Americanas.com;2699;False;0;10x;269,9;2699;12x;224,91;404,85;12x;224,91;0;0;Apple;Iphone 7;128GB;Preto Matte
R$ 940,00Selo PrimeEsta Í© uma oferta prime10x de R$ 94,00 s/ juros;R$ 940,00 em atÍ© 12x de R$ 78,33 s/ juros com Ame e receba R$ 141,00 (15% de volta) R$ 846,00 em 1x no cartÍ£o de crÍ©dito (10% de desconto)R$ 799,00 no cartÍ£o Americanascom em atÍ© 12x de R$ 66,58 s/ juros (15% de desconto)formas de parcelamento;"Smartphone Motorola Moto G7 Play 32GB Dual Chip Android Pie - 9.0 Tela 5.7"" 1.8 GHz Octa-Core 4G CÍ¢mera 13MP - Indigo nas Lojas Americanas.com";940;False;0;10x;94;940;12x;78,33;141;12x;66,58;0;846;Motorola;Moto G7 Play;32GB;Indigo
R$ 1199,00Selo PrimeEsta Í© uma oferta prime10x de R$ 119,90 s/ juros;R$ 1199,00 em atÍ© 12x de R$ 99,91 s/ juros com Ame e receba R$ 59,95 (5% de volta) R$ 1079,10 em 1x no cartÍ£o de crÍ©dito (10% de desconto)R$ 1079,10 no cartÍ£o Americanascom em atÍ© 12x de R$ 89,92 s/ juros (10% de desconto)formas de parcelamento;"Smartphone Motorola Moto G7 Power 32GB Dual Chip Android Pie - 9.0 Tela 6.2"" 1.8 GHz Octa-Core 4G CÍ¢mera 12MP - Azul Navy nas Lojas Americanas.com";1199;False;0;10x;119,9;1199;12x;99,91;59,95;12x;89,92;0;1079,1;Motorola;Moto G7 Power;32GB;Azul Navy
R$ 1599,0010x de R$ 159,90 s/ juros;R$ 1599,00 em atÍ© 12x de R$ 133,25 s/ juros com Ame e receba R$ 79,95 (5% de volta) R$ 1439,10 em 1x no cartÍ£o Americanascom (10% de desconto) ou R$ 1599,00 em atÍ© 12x de R$ 133,25 s/ jurosformas de parcelamento;"Smartphone Motorola Moto G7 Plus 64GB Dual Chip Android Pie - 9.0 Tela 6.3"" 1.8 GHz Octa-Core 4G CÍ¢mera 16MP F1.7 + 5MP F1.9 (Dual Cam) - Indigo nas Lojas Americanas.com";1599;False;0;10x;159,9;1599;12x;133,25;79,95;12x;133,25;0;0;Motorola;Moto G7 Plus;64GB;Indigo
R$ 1843,33Selo PrimeEsta Í© uma oferta prime10x de R$ 184,33 s/ juros;R$ 1843,33 em atÍ© 12x de R$ 153,61 s/ juros com Ame e receba R$ 92,17 (5% de volta) R$ 1658,99 em 1x no cartÍ£o de crÍ©dito (10% de desconto)R$ 1658,99 no cartÍ£o Americanascom em atÍ© 12x de R$ 138,24 s/ juros (10% de desconto)formas de parcelamento;"Smartphone Motorola Moto G7 Plus 64GB Dual Chip Android Pie - 9.0 Tela 6.3"" 1.8 GHz Octa-Core 4G CÍ¢mera 16MP F1.7 + 5MP F1.9 (Dual Cam) - Rubi nas Lojas Americanas.com";1843,33;False;0;10x;184,33;1843,33;12x;153,61;92,17;12x;138,24;0;1658,99;Motorola;Moto G7 Plus;64GB;Rubi
R$ 887,78Selo PrimeEsta Í© uma oferta prime10x de R$ 88,77 s/ juros;R$ 887,78 em atÍ© 12x de R$ 73,98 s/ juros com Ame e receba R$ 133,17 (15% de volta) R$ 799,00 em 1x no cartÍ£o de crÍ©dito (10% de desconto)R$ 754,61 no cartÍ£o Americanascom em atÍ© 12x de R$ 62,88 s/ juros (15% de desconto)formas de parcelamento;"Smartphone Motorola Moto G6 Play Dual Chip Android Oreo - 8.0 Tela 5.7"" Octa-Core 1.4 GHz 32GB 4G CÍ¢mera 13MP - Íçndigo nas Lojas Americanas.com";887,78;False;0;10x;88,77;887,78;12x;73,98;133,17;12x;62,88;0;799;Motorola;Moto G6 Play;32GB;Indigo
R$ 887,78 (10% de desconto)R$ 799,00Selo PrimeEsta Í© uma oferta primeem 1x no cartÍ£o;R$ 887,78 em atÍ© 12x de R$ 73,98 s/ juros com Ame e receba R$ 133,17 (15% de volta) R$ 887,78 no boleto bancÍçrioR$ 887,78 no cartÍ£o de crÍ©dito em atÍ© 10x de R$ 88,77 s/ jurosR$ 754,61 no cartÍ£o Americanascom em atÍ© 12x de R$ 62,88 s/ juros (15% de desconto)formas de parcelamento;"Smartphone Motorola Moto G6 Play Dual Chip Android Oreo - 8.0 Tela 5.7"" Octa-Core 1.4 GHz 32GB 4G CÍ¢mera 13MP - Ouro nas Lojas Americanas.com";887,78;True;10;0;0;887,78;12x;73,98;133,17;12x;88,77;887,78;887,78;Motorola;Moto G6 Play;32GB;Ouro
R$ 1199,00Selo PrimeEsta Í© uma oferta prime10x de R$ 119,90 s/ juros;R$ 1199,00 em atÍ© 12x de R$ 99,91 s/ juros com Ame e receba R$ 59,95 (5% de volta) R$ 1079,10 em 1x no cartÍ£o de crÍ©dito (10% de desconto)R$ 1019,15 no cartÍ£o Americanascom em atÍ© 12x de R$ 84,92 s/ juros (15% de desconto)formas de parcelamento;"Smartphone Motorola Moto G6 Dual Chip Android Oreo - 8.0 Tela 5.7"" Octa-Core 1.8 GHz 64GB 4G CÍ¢mera 12 + 5MP (Dual Traseira) - Ouro Rose nas Lojas Americanas.com";1199;False;0;10x;119,9;1199;12x;99,91;59,95;12x;84,92;0;1079,1;Motorola;Moto G6;64GB;Ouro Rosa
R$ 1148,00Selo PrimeEsta Í© uma oferta prime10x de R$ 114,80 s/ juros;R$ 1148,00 em atÍ© 12x de R$ 95,66 s/ juros com Ame e receba R$ 172,20 (15% de volta) R$ 1033,20 em 1x no cartÍ£o Americanascom (10% de desconto) ou R$ 1148,00 em atÍ© 12x de R$ 95,66 s/ jurosformas de parcelamento;"Smartphone Motorola Moto G6 64GB Dual Chip Android Oreo - 8.0 Tela 5.7"" Octa-Core 1.8 GHz 4G CÍ¢mera 12 + 5MP (Dual Traseira) - Preto nas Lojas Americanas.com";1148;False;0;10x;114,8;1148;12x;95,66;172,2;12x;95,66;0;0;Motorola;Moto G6;64GB;Preto
R$ 1479,90 (5% de desconto)R$ 1405,90no boleto ou em 1x no cartÍ£o;R$ 1479,90 em atÍ© 12x de R$ 123,32 s/ juros com Ame e receba R$ 221,99 (15% de volta) R$ 1479,90 no cartÍ£o de crÍ©dito em atÍ© 10x de R$ 147,99 s/ jurosR$ 1331,91 em 1x no cartÍ£o Americanascom (10% de desconto) ou R$ 1479,90 em atÍ© 12x de R$ 123,32 s/ jurosformas de parcelamento;"Smartphone Motorola Moto G6 Plus 64GB Dual Chip Android Oreo - 8.0 Tela 5.9"" Octa-Core 2.2 GHz 4G CÍ¢mera 12 + 5MP (Dual Traseira) - Azul TopÍçzio nas Lojas Americanas.com";1479,9;True;5;0;0;1479,9;12x;123,32;221,99;12x;147,99;0;1479,9;Motorola;Moto G6 Plus;64GB;Azul Topázio
R$ 1499,00 (10% de desconto)R$ 1349,10Selo PrimeEsta Í© uma oferta primeem 1x no cartÍ£o;R$ 1499,00 em atÍ© 12x de R$ 124,91 s/ juros com Ame e receba R$ 224,85 (15% de volta) R$ 1499,00 no boleto bancÍçrioR$ 1499,00 no cartÍ£o de crÍ©dito em atÍ© 10x de R$ 149,90 s/ jurosR$ 1274,15 no cartÍ£o Americanascom em atÍ© 12x de R$ 106,17 s/ juros (15% de desconto)formas de parcelamento;"Smartphone Motorola Moto G6 Plus Dual Chip Android Oreo - 8.0 Tela 5.9"" Octa-Core 2.2 GHz 64GB 4G CÍ¢mera 12 + 5MP (Dual Traseira) - Íçndigo nas Lojas Americanas.com";1499;True;10;0;0;1499;12x;124,91;224,85;12x;149,9;1499;1499;Motorola;Moto G6 Plus;64GB;Indigo
R$ 940,00Selo PrimeEsta Í© uma oferta prime10x de R$ 94,00 s/ juros;R$ 940,00 em atÍ© 12x de R$ 78,33 s/ juros com Ame e receba R$ 141,00 (15% de volta) R$ 846,00 em 1x no cartÍ£o de crÍ©dito (10% de desconto)R$ 799,00 no cartÍ£o Americanascom em atÍ© 12x de R$ 66,58 s/ juros (15% de desconto)formas de parcelamento;"Smartphone Motorola Moto G7 Play 32GB Dual Chip Android Pie - 9.0 Tela 5.7"" 1.8 GHz Octa-Core 4G CÍ¢mera 13MP - Ouro nas Lojas Americanas.com";940;False;0;10x;94;940;12x;78,33;141;12x;66,58;0;846;Motorola;Moto G7 Play;32GB;Ouro
R$ 1499,0010x de R$ 149,90 s/ juros;R$ 1499,00 em atÍ© 12x de R$ 124,91 s/ juros com Ame e receba R$ 224,85 (15% de volta) R$ 1499,00 no cartÍ£o Americanascom em atÍ© 12x de R$ 124,91 s/ jurosformas de parcelamento;"Smartphone Motorola One 64GB Dual Chip Android Oreo 8.1 Tela 5.9"" 2.0 GHz Octa-Core Qualcomm 4G CÍ¢mera 13 + 2MP (Dual Traseira) - Branco nas Lojas Americanas.com";1499;False;0;10x;149,9;1499;12x;124,91;224,85;12x;124,91;0;0;Motorola;One;64GB;Branco
R$ 3409,00 (4% de desconto)R$ 3259,0010x de R$ 325,90 s/ juros;R$ 3259,00 em atÍ© 12x de R$ 271,58 s/ juros com Ame e receba R$ 162,95 (5% de volta) R$ 2933,10 em 1x no cartÍ£o Americanascom (10% de desconto) ou R$ 3259,00 em atÍ© 12x de R$ 271,58 s/ jurosformas de parcelamento;Iphone 8 Apple 256gb Dourado Seminovo nas Lojas Americanas.com;3409;True;4;10x;325,9;3259;12x;271,58;162,95;12x;271,58;0;0;Apple;Iphone 8;256GB;Dourado
R$ 1099,00 (10% de desconto)R$ 989,10Selo PrimeEsta Í© uma oferta primeem 1x no cartÍ£o;R$ 1099,00 em atÍ© 12x de R$ 91,58 s/ juros com Ame e receba R$ 164,85 (15% de volta) R$ 1099,00 no boleto bancÍçrioR$ 1099,00 no cartÍ£o de crÍ©dito em atÍ© 10x de R$ 109,90 s/ jurosR$ 934,15 no cartÍ£o Americanascom em atÍ© 12x de R$ 77,84 s/ juros (15% de desconto)formas de parcelamento;"Smartphone Motorola Moto G6 32GB Dual Chip Android Oreo - 8.0 Tela 5.7"" Octa-Core 1.8 GHz 4G CÍ¢mera 12 + 5MP (Dual Traseira) - Íçndigo nas Lojas Americanas.com";1099;True;10;0;0;1099;12x;91,58;164,85;12x;109,9;1099;1099;Motorola;Moto G6;32GB;Indigo
R$ 1299,00 (10% de desconto)R$ 1169,10Selo PrimeEsta Í© uma oferta primeem 1x no cartÍ£o;R$ 1299,00 em atÍ© 12x de R$ 108,25 s/ juros com Ame e receba R$ 64,95 (5% de volta) R$ 1299,00 no boleto bancÍçrioR$ 1299,00 no cartÍ£o de crÍ©dito em atÍ© 10x de R$ 129,90 s/ jurosR$ 1169,10 no cartÍ£o Americanascom em atÍ© 12x de R$ 97,42 s/ juros (10% de desconto)formas de parcelamento;"Smartphone Motorola One 64GB Dual Chip Android Oreo 8.1 Tela 5.9"" 2.0 GHz Octa-Core Qualcomm 4G CÍ¢mera 13 + 2MP (Dual Traseira) - Preto nas Lojas Americanas.com";1299;True;10;0;0;1299;12x;108,25;64,95;12x;129,9;1299;1299;Motorola;One;64GB;Preto
R$ 889,89Selo PrimeEsta Í© uma oferta prime10x de R$ 88,98 s/ juros;R$ 889,89 em atÍ© 12x de R$ 74,15 s/ juros com Ame e receba R$ 133,49 (15% de volta) R$ 749,00 no cartÍ£o Americanascom em atÍ© 12x de R$ 62,41 s/ juros (15% de desconto)formas de parcelamento;"Smartphone Samsung Galaxy J6 32GB Dual Chip Android 8.0 Tela 5.6"" Octa-Core 1.6GHz 4G CÍ¢mera 13MP com TV - Preto nas Lojas Americanas.com";889,89;False;0;10x;88,98;889,89;12x;74,15;133,49;12x;62,41;0;0;Samsung;Galaxy J6;32GB;Preto
R$ 899,9010x de R$ 89,99 s/ juros;R$ 899,90 em atÍ© 12x de R$ 74,99 s/ juros com Ame e receba R$ 45,00 (5% de volta) R$ 809,91 em 1x no cartÍ£o Americanascom (10% de desconto) ou R$ 899,90 em atÍ© 12x de R$ 74,99 s/ jurosformas de parcelamento;"Smartphone Samsung Galaxy J6 32GB Dual Chip Android 8.0 Tela 5.6"" Octa-Core 1.6GHz 4G CÍ¢mera 13MP com TV - Prata nas Lojas Americanas.com";899,9;False;0;10x;89,99;899,9;12x;74,99;45;12x;74,99;0;0;Samsung;Galaxy J6;32GB;Prata
R$ 999,0010x de R$ 99,90 s/ juros;R$ 999,00 em atÍ© 12x de R$ 83,25 s/ juros com Ame e receba R$ 49,95 (5% de volta) R$ 899,10 em 1x no cartÍ£o Americanascom (10% de desconto) ou R$ 999,00 em atÍ© 12x de R$ 83,25 s/ jurosformas de parcelamento;"Smartphone Samsung Galaxy J6 32GB Dual Chip Android 8.0 Tela 5.6"" Octa-Core 1.6GHz 4G CÍ¢mera 13MP - Violeta nas Lojas Americanas.com";999;False;0;10x;99,9;999;12x;83,25;49,95;12x;83,25;0;0;Samsung;Galaxy J6;32GB;Violeta
R$ 999,00Selo PrimeEsta Í© uma oferta prime10x de R$ 99,90 s/ juros;R$ 999,00 em atÍ© 12x de R$ 83,25 s/ juros com Ame e receba R$ 149,85 (15% de volta) R$ 749,00 no cartÍ£o Americanascom em atÍ© 12x de R$ 62,41 s/ juros (25% de desconto)formas de parcelamento;"Smartphone Samsung Galaxy J6 64GB Dual Chip Android 8.0 Tela 5.6"" Octa-Core 1.6GHz 4G CÍ¢mera 13MP - Violeta nas Lojas Americanas.com";999;False;0;10x;99,9;999;12x;83,25;149,85;12x;62,41;0;0;Samsung;Galaxy J6;64GB;Violeta
