price;price_parcela;em_1x_no_cartao_de_credito;title;a_vista_price;desconto_a_vista;porcentagem_desconto_a_vista;qtd_de_parcelas;valor_parcelas;a_vista_ame;qtd_de_parcelas_ame;valor_parcelas_ame;receber_de_volta_ame;numero_parcelas_em_1x_no_cartao_ou_cartao_americanas;valor_parcelas_em_1x_no_cartao_ou_cartao_americanas;manufacturer
R$ 1843,33Selo PrimeEsta í© uma oferta prime10x de R$ 184,33 s/ juros;R$ 1843,33 em atí© 12x de R$ 153,61 s/ juros com Ame e receba R$ 92,17 (5% de volta) R$ 1658,99 em 1x no cartí£o de crí©dito (10% de desconto)R$ 1658,99 no cartí£o Americanascom em atí© 12x de R$ 138,24 s/ juros (10% de desconto)formas de parcelamento;1658,99;"Smartphone Motorola Moto G7 Plus 64GB Dual Chip Android Pie - 9.0 Tela 6.3"" 1.8 GHz Octa-Core 4G Cí¢mera 16MP F1.7 + 5MP F1.9 (Dual Cam) - Rubi nas Lojas Americanas.com";1843,33;False;0;10x;184,33;1843,33;12x;153,61;92,17;12x;138,24;Motorola
R$ 887,78Selo PrimeEsta í© uma oferta prime10x de R$ 88,77 s/ juros;R$ 887,78 em atí© 12x de R$ 73,98 s/ juros com Ame e receba R$ 133,17 (15% de volta) R$ 799,00 em 1x no cartí£o de crí©dito (10% de desconto)R$ 754,61 no cartí£o Americanascom em atí© 12x de R$ 62,88 s/ juros (15% de desconto)formas de parcelamento;799;"Smartphone Motorola Moto G6 Play Dual Chip Android Oreo - 8.0 Tela 5.7"" Octa-Core 1.4 GHz 32GB 4G Cí¢mera 13MP - íçndigo nas Lojas Americanas.com";887,78;False;0;10x;88,77;887,78;12x;73,98;133,17;12x;62,88;Motorola
R$ 887,78 (10% de desconto)R$ 799,00Selo PrimeEsta í© uma oferta primeem 1x no cartí£o;R$ 887,78 em atí© 12x de R$ 73,98 s/ juros com Ame e receba R$ 133,17 (15% de volta) R$ 887,78 no boleto bancíçrioR$ 887,78 no cartí£o de crí©dito em atí© 10x de R$ 88,77 s/ jurosR$ 754,61 no cartí£o Americanascom em atí© 12x de R$ 62,88 s/ juros (15% de desconto)formas de parcelamento;0;"Smartphone Motorola Moto G6 Play Dual Chip Android Oreo - 8.0 Tela 5.7"" Octa-Core 1.4 GHz 32GB 4G Cí¢mera 13MP - Ouro nas Lojas Americanas.com";887,78;True;10;0;0;887,78;12x;73,98;133,17;12x;88,77;Motorola
R$ 1199,00Selo PrimeEsta í© uma oferta prime10x de R$ 119,90 s/ juros;R$ 1199,00 em atí© 12x de R$ 99,91 s/ juros com Ame e receba R$ 59,95 (5% de volta) R$ 1079,10 em 1x no cartí£o de crí©dito (10% de desconto)R$ 1019,15 no cartí£o Americanascom em atí© 12x de R$ 84,92 s/ juros (15% de desconto)formas de parcelamento;1079,1;"Smartphone Motorola Moto G6 Dual Chip Android Oreo - 8.0 Tela 5.7"" Octa-Core 1.8 GHz 64GB 4G Cí¢mera 12 + 5MP (Dual Traseira) - Ouro Rose nas Lojas Americanas.com";1199;False;0;10x;119,9;1199;12x;99,91;59,95;12x;84,92;Motorola
R$ 1148,00Selo PrimeEsta í© uma oferta prime10x de R$ 114,80 s/ juros;R$ 1148,00 em atí© 12x de R$ 95,66 s/ juros com Ame e receba R$ 172,20 (15% de volta) R$ 1033,20 em 1x no cartí£o Americanascom (10% de desconto) ou R$ 1148,00 em atí© 12x de R$ 95,66 s/ jurosformas de parcelamento;0;"Smartphone Motorola Moto G6 64GB Dual Chip Android Oreo - 8.0 Tela 5.7"" Octa-Core 1.8 GHz 4G Cí¢mera 12 + 5MP (Dual Traseira) - Preto nas Lojas Americanas.com";1148;False;0;10x;114,8;1148;12x;95,66;172,2;12x;95,66;Motorola
R$ 1479,90 (5% de desconto)R$ 1405,90no boleto ou em 1x no cartí£o;R$ 1479,90 em atí© 12x de R$ 123,32 s/ juros com Ame e receba R$ 221,99 (15% de volta) R$ 1479,90 no cartí£o de crí©dito em atí© 10x de R$ 147,99 s/ jurosR$ 1331,91 em 1x no cartí£o Americanascom (10% de desconto) ou R$ 1479,90 em atí© 12x de R$ 123,32 s/ jurosformas de parcelamento;0;"Smartphone Motorola Moto G6 Plus 64GB Dual Chip Android Oreo - 8.0 Tela 5.9"" Octa-Core 2.2 GHz 4G Cí¢mera 12 + 5MP (Dual Traseira) - Azul Topíçzio nas Lojas Americanas.com";1479,9;True;5;0;0;1479,9;12x;123,32;221,99;12x;147,99;Motorola
R$ 1499,00 (10% de desconto)R$ 1349,10Selo PrimeEsta í© uma oferta primeem 1x no cartí£o;R$ 1499,00 em atí© 12x de R$ 124,91 s/ juros com Ame e receba R$ 224,85 (15% de volta) R$ 1499,00 no boleto bancíçrioR$ 1499,00 no cartí£o de crí©dito em atí© 10x de R$ 149,90 s/ jurosR$ 1274,15 no cartí£o Americanascom em atí© 12x de R$ 106,17 s/ juros (15% de desconto)formas de parcelamento;0;"Smartphone Motorola Moto G6 Plus Dual Chip Android Oreo - 8.0 Tela 5.9"" Octa-Core 2.2 GHz 64GB 4G Cí¢mera 12 + 5MP (Dual Traseira) - íçndigo nas Lojas Americanas.com";1499;True;10;0;0;1499;12x;124,91;224,85;12x;149,9;Motorola
R$ 940,00Selo PrimeEsta í© uma oferta prime10x de R$ 94,00 s/ juros;R$ 940,00 em atí© 12x de R$ 78,33 s/ juros com Ame e receba R$ 141,00 (15% de volta) R$ 846,00 em 1x no cartí£o de crí©dito (10% de desconto)R$ 799,00 no cartí£o Americanascom em atí© 12x de R$ 66,58 s/ juros (15% de desconto)formas de parcelamento;846;"Smartphone Motorola Moto G7 Play 32GB Dual Chip Android Pie - 9.0 Tela 5.7"" 1.8 GHz Octa-Core 4G Cí¢mera 13MP - Ouro nas Lojas Americanas.com";940;False;0;10x;94;940;12x;78,33;141;12x;66,58;Motorola
R$ 1499,0010x de R$ 149,90 s/ juros;R$ 1499,00 em atí© 12x de R$ 124,91 s/ juros com Ame e receba R$ 224,85 (15% de volta) R$ 1499,00 no cartí£o Americanascom em atí© 12x de R$ 124,91 s/ jurosformas de parcelamento;0;"Smartphone Motorola One 64GB Dual Chip Android Oreo 8.1 Tela 5.9"" 2.0 GHz Octa-Core Qualcomm 4G Cí¢mera 13 + 2MP (Dual Traseira) - Branco nas Lojas Americanas.com";1499;False;0;10x;149,9;1499;12x;124,91;224,85;12x;124,91;Motorola
R$ 3409,00 (4% de desconto)R$ 3259,0010x de R$ 325,90 s/ juros;R$ 3259,00 em atí© 12x de R$ 271,58 s/ juros com Ame e receba R$ 162,95 (5% de volta) R$ 2933,10 em 1x no cartí£o Americanascom (10% de desconto) ou R$ 3259,00 em atí© 12x de R$ 271,58 s/ jurosformas de parcelamento;0;Iphone 8 Apple 256gb Dourado Seminovo nas Lojas Americanas.com;3409;True;4;10x;325,9;3259;12x;271,58;162,95;12x;271,58;Apple
